agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
BUS,T04B-3,3,T04B-3,"Troncal T04B-3 - 59 ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
BUS,T04B-4,3,T04B-4,"Troncal T04B-4 ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
BUS,T06,3,T06,"Troncal T06-37 ""Pablo Valdez""",,,D40000,FFFFFF,,,
BUS,T06-03,3,T06-03,"Troncal T06-03 - 37A ""Zalate""",,,D40000,FFFFFF,,,
BUS,T07,3,T07,"Troncal T07 - 30 ""Enrique Diaz de Leon""",,,D40000,FFFFFF,,,
BUS,T07-C01,3,T07-C01,"Troncal T07-C01 - 30A ""Enrique Diaz de Leon Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T07-C02,3,T07-C02,"Troncal T07-C02 - 625 Cozumel ""Enrique Diaz de Leon Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T07-C03,3,T07-C03,"Troncal T07-C03 - 625 Cozumel corta ""Enrique Diaz de Leon Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T07-C04,3,T07-C04,"Troncal T07-C04 - 128 ""Enrique Diaz de Leon Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T08,3,T08,"Troncal T08-634 "" Américas""",,,D40000,FFFFFF,,,
BUS,T08-C01,3,T08-C01,"Troncal T08-C01 - 634 V2 ""Américas""",,,4C8D2B,FFFFFF,,,
BUS,T09-B,3,T09-Belisario,"Troncal T09 ""Circuito Belisario""",,,D40000,FFFFFF,,,
BUS,T09-O,3,T09-Oblatos,"Troncal T09 ""Circuito Oblatos""",,,D40000,FFFFFF,,,
BUS,T10,3,T10,"Troncal T10-626  ""Mariano Otero""",,,D40000,FFFFFF,,,
BUS,T10-C01,3,T10-C01,"Troncal T10-C01 - 626A ""Mariano Otero Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T10-C02,3,T10-C02,"Troncal T10-C02 - 626A ""Mariano Otero Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T10-C03,3,T10-C03,"Troncal T10-C03 - 626 ""Mariano Otero Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T11A,3,T11A,"Troncal T11A - 51D Directa ""Rio Nilo-Guadalupe""",,,D40000,FFFFFF,,,
BUS,T11A-C01,3,T11A-C01,"Troncal T11A-C01 - 51D ""Rio Nilo-Guadalupe""",,,4C8D2B,FFFFFF,,,
BUS,T11A-C02,3,T11A-C02,"Troncal T11A-C02 - 51A ""Rio Nilo-Guadalupe""",,,4C8D2B,FFFFFF,,,
BUS,T11A-C03,3,T11A-C03,"Troncal T11A-C03 - 51B ""Rio Nilo-Guadalupe""",,,4C8D2B,FFFFFF,,,
BUS,T11B,3,T11B,"Troncal T11B - 55 ""Rio Nilo - Guadalupe""",,,D40000,FFFFFF,,,
BUS,T13A,3,T13A,"Troncal T13A - 177 ""Alamo""",,,D40000,FFFFFF,,,
BUS,T13-A1,3,T13-A1,"Troncal T13-A1 - (178) 177 ""El Verde""",,,D40000,FFFFFF,,,
BUS,T13A-C01,3,T13A-C01,"Troncal T13A-C01 - 180 ""Rancho Alegre""",,,4C8D2B,FFFFFF,,,
BUS,T13A-C02,3,T13A-C02,"Troncal T13A-C02 - 180 ""Solidaridad Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T13A-C03,3,T13A-C03,"Troncal T13A-C03 - 178 ""Parques del Castillo""",,,4C8D2B,FFFFFF,,,
BUS,T13B-C01-1,3,T13B-C01-1,"Troncal T13B-C01-1 - 176 ""Solidaridad""",,,4C8D2B,FFFFFF,,,
BUS,T13B-C01-2,3,T13B-C01-2,"Troncal T13B-C01-2 - 176 ""Central de Autobuses""",,,4C8D2B,FFFFFF,,,
BUS,T13B-C02-1,3,T13B-C02-1,"Troncal T13B-C02 - 176C ""Solidaridad Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T13B-V1,3,T13B-V1,"Troncal T13B-V1 - 176B ""Jardines""",,,D40000,FFFFFF,,,
BUS,T13B-V2,3,T13B-V2,"Troncal T13B-V1 - 176 ""Villas""",,,D40000,FFFFFF,,,
BUS,T13C-1,3,T13C-1,"Troncal T13C-1 - 178 ""Agua Blanca""",,,D40000,FFFFFF,,,
BUS,T13C-2,3,T13C-2,"Troncal T13C-2 - 178 ""Central Vieja""",,,D40000,FFFFFF,,,
BUS,T13C-C04,3,T13C-C04,"Troncal T13C-C04 - 179 ""Solidaridad Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T14A-C01,3,T14A-C01,"Troncal T14-C01 - 50A ""Santa Fe - 8 de Julio""",,,4C8D2B,FFFFFF,,,
BUS,T14A-C02,3,T14A-C02,"Troncal T14-C02 - 52A ""Santa Rita""",,,4C8D2B,FFFFFF,,,
BUS,T14A-C03,3,T14A-C03,"Troncal T14-C03 - 52A ""Mezquitera""",,,4C8D2B,FFFFFF,,,
BUS,T14B,3,T14B,"Troncal T14B - 50 ""Reyes Heroles""",,,D40000,FFFFFF,,,
BUS,T14B-C03-1,3,T14B-C03-1,"Troncal T14B-C03-01 - 52C ""8 de Julio""",,,4C8D2B,FFFFFF,,,
BUS,T14B-C03-2,3,T14B-C03-2,"Troncal T14B-C03-02 - 52C ""8 de Julio""",,,4C8D2B,FFFFFF,,,
BUS,T15,3,T15,"Troncal T15 - 231 ""Prolongacion Alcalde""",,,D40000,FFFFFF,,,
BUS,T15-1,3,T15-1,"Troncal T15-1 - 235 ""Prolongacion Alcalde""",,,D40000,FFFFFF,,,
BUS,T15-C01,3,T15-C01,"Troncal T15-C01 - 636A ""Coronilla""",,,4C8D2B,FFFFFF,,,
BUS,T15-C02,3,T15-C02,"Troncal T15-C02 - 636A ""Mesas""",,,4C8D2B,FFFFFF,,,
BUS,T15-C03,3,T15-C03,"Troncal T15-C03 - 636A ""Mirador Escondido""",,,4C8D2B,FFFFFF,,,
BUS,T15-C04,3,T15-C04,"Troncal T15-C04 - 275B ""Villas""",,,4C8D2B,FFFFFF,,,
BUS,T15-C05,3,T15-C05,"Troncal T15-C05 - 275B ""Higuera""",,,4C8D2B,FFFFFF,,,
BUS,T15-C06,3,T15-C06,"Troncal T15-C06 - 231C ""Prolongacion Alcalde Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T16A-C01,3,T16A-C01,"Troncal T16A-C01 - 163 ""Molinos""",,,4C8D2B,FFFFFF,,,
BUS,T16B,3,T16B,"Troncal T16B - 275F ""Juan Gil Preciado""",,,D40000,FFFFFF,,,
BUS,T16B-1,3,T16B-1,"Troncal T16B-1 - 275F ""Angeles""",,,D40000,FFFFFF,,,
BUS,T16B-C01,3,T16B-C01,"Troncal T16B-C01 - 275F ""Conos""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C03,3,T16B-C03,"Troncal T16B-C03 - 633 ""Las Agujas""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C06,3,T16B-C06,"Troncal T16B-C06 - 24A ""Juan Gil Preciado Complementaria - La Magdalena""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C07-C,3,T16B-C07-Ceibas,"Troncal T16B-C07 - 24A ""Juan Gil Preciado Complementaria - Ceibas""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C07-V,3,T16B-C07-Vistas,"Troncal T16B-C07 - 24A ""Juan Gil Preciado Complementaria - Vistas""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C08-M,3,T16B-C08-Mesitas,"Troncal T16B-C08 - 24A ""Juan Gil Preciado Complementaria - Las Mesitas""",,,4C8D2B,FFFFFF,,,
BUS,T16B-C08-P,3,T16B-C08-Piedrera,"Troncal T16B-C08 - 24A ""Juan Gil Preciado Complementaria - La Piedrera""",,,4C8D2B,FFFFFF,,,
BUS,T17,3,T17,"Troncal T17-632 ""Patria""",,,D40000,FFFFFF,,,
BUS,T17-1,3,T17-1,"Troncal T17-1 - 632 ""Patria""",,,D40000,FFFFFF,,,
BUS,T17-C01,3,T17-C01,"Troncal T17-C01 - 632A ""Patria Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T18-1-L,3,T18-1-Lopez,"Troncal T18-1 - 622 ""Lopez Mateos (Washington-Canada)""",,,D40000,FFFFFF,,,
BUS,T18-1-T,3,T18-1-Terranova,"Troncal T18-1 - 622A ""Terranova (Washington-Canada)""",,,D40000,FFFFFF,,,
BUS,T18-2-L,3,T18-2-Lopez,"Troncal T18-2 - 622 ""Lopez Mateos (Washington-Minerva)""",,,D40000,FFFFFF,,,
BUS,T18-2-T,3,T18-2-Terranova,"Troncal T18-2 - 622A ""Terranova (Washington-Minerva)""",,,D40000,FFFFFF,,,
